l.year,l.city,l.country
1924,Chamonix, France
1928,St. Moritz, Switzerland
1932,Lake Placid, United States
1936,Garmisch-Partenkirchen, Germany
1948,St. Moritz, Switzerland
1952,Oslo, Norway
1956,Cortina d'Ampezzo, Italy
1960,Squaw Valley, United States
1964,Innsbruck, Austria
1968,Grenoble, France
1972,Sapporo, Japan
1976,Innsbruck, Austria
1980,Lake Placid, United States
1984,Sarajevo, Yugoslavia (until 1988)
1988,Calgary, Canada
1992,Albertville, France
1994,Lillehammer, Norway
1998,Nagano, Japan
2002,Salt Lake City, United States
2006,Torino, Italy
2010,Vancouver, Canada
2014,Sochi, Russia

